intake_date,intake_type,intake_subtype,ken_jurisdiction,ken_zip,outcome_type,animal_id,animal_type,primary_breed,secondary_breed,person_id,src_zip,src_jurisdiction,person_id,own_zip,own_jurisdiction,microchip,microchip_bin
00:00.0,STRAY,FIELD,AUSTIN,78744,ADOPTION,A827373,DOG,PIT BULL,NULL,P743381,78744,NULL,P818761,78753,NULL,982126059767518,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78729,ADOPTION,A827357,CAT,DOMESTIC SH,NULL,P517052,78729,AUSTIN,P742287,78723,NULL,982126054170192,1
00:00.0,STRAY,FIELD,TRAVIS,78719,ADOPTION,A827366,DOG,GREAT PYRENEES,MIX,P794797,78719,NULL,P581790,78730,NULL,982126054170318,1
00:00.0,STRAY,FIELD,AUSTIN,78748,ADOPTION,A827371,DOG,PIT BULL,NULL,P794231,78748,NULL,P775070,78738,LAKEWAY,982126059776597,1
00:00.0,STRAY,OTC,AUSTIN,78702,ADOPTION,A827313,DOG,PIT BULL,MIX,NULL,NULL,NULL,P801331,78602,NULL,982126059778222,1
00:00.0,STRAY,FIELD,AUSTIN,78758,RTO,A827311,DOG,SCHNAUZER STAND,NULL,P794534,78758,AUSTIN,P695094,78758,NULL,982126059777903,1
00:00.0,STRAY,OTC,AUSTIN,78741,ADOPTION,A827338,DOG,LABRADOR RETR,NULL,P590111,78759,NULL,P647401,78745,NULL,982126059777500,1
00:00.0,STRAY,OTC,AUSTIN,78747,TRANSFER,A827327,DOG,CHIHUAHUA SH,NULL,P658612,78747,NULL,P327726,78766,NULL,982126059771827,1
00:00.0,STRAY,OTC,AUSTIN,78747,TRANSFER,A827326,DOG,CHIHUAHUA SH,NULL,P658612,78747,NULL,P327726,78766,NULL,982126059777088,1
00:00.0,STRAY,FIELD,AUSTIN,78758,ADOPTION,A827312,DOG,LABRADOR RETR,BORDER COLLIE,P070962,78752,AUSTIN,P794838,78759,NULL,982126059776662,1
00:00.0,STRAY,FIELD,AUSTIN,78752,RTO,A827341,DOG,SHIH TZU,NULL,P389954,78701,AUSTIN,P794845,78752,NULL,982126059777734,1
00:00.0,STRAY,FIELD,AUSTIN,78752,ADOPTION,A827336,DOG,CHIHUAHUA SH,NULL,P794746,78752,NULL,P784581,78666,NULL,982126059777674,1
00:00.0,STRAY,OTC,AUSTIN,78752,ADOPTION,A827344,CAT,DOMESTIC SH,NULL,P070962,78752,AUSTIN,P803767,78724,NULL,982126059778429,1
00:00.0,STRAY,OTC,AUSTIN,78744,ADOPTION,A827329,DOG,BOXER,MIX,P794741,78744,NULL,P770325,78727,NULL,982126059777507,1
00:00.0,STRAY,FIELD,AUSTIN,78752,ADOPTION,A827328,DOG,GERM SHEPHERD,NULL,P511731,78752,NULL,P539795,78745,NULL,982126059778128,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78704,TRANSFER,A827300,CAT,DOMESTIC SH,NULL,P794672,78704,NULL,P083529,78703,AUSTIN,NULL,0
00:00.0,STRAY,OTC,AUSTIN,78703,RTO,A827342,DOG,MASTIFF,MIX,P389954,78701,AUSTIN,P083529,78703,AUSTIN,981020039585831,1
00:00.0,STRAY,FIELD,TRAVIS,78652,TRANSFER,A827302,DOG,LABRADOR RETR,MIX,P487711,78748,NULL,P083529,78703,AUSTIN,982126059778174,1
00:00.0,STRAY,FIELD,AUSTIN,78753,TRANSFER,A827293,DOG,CHIHUAHUA SH,PUG,P794628,,NULL,P343922,78749,NULL,982091061644731,1
00:00.0,STRAY,OTC,AUSTIN,78702,ADOPTION,A819285,DOG,AM PIT BULL TER,NULL,P389954,78701,AUSTIN,P795824,78621,NULL,981020033497316,1
00:00.0,STRAY,OTC,AUSTIN,78753,ADOPTION,A827295,DOG,PIT BULL,NULL,P794657,78626,NULL,P797023,78634,NULL,982126059776562,1
